time,open,high,low,close,volume,rsi,stoch_k,stoch_d,buy,sell
2026-04-28 04:00:00,2288.75,2291.08,2274.98,2289.14,8112.4069,,,,0,0
2026-04-28 05:00:00,2289.15,2296.36,2289.08,2291.7,5969.8812,,,,0,0
2026-04-28 06:00:00,2291.69,2292.4,2287,2287.33,3065.7892,,,,0,0
2026-04-28 07:00:00,2287.34,2295.7,2284.66,2294.36,4214.8302,,,,0,0
2026-04-28 08:00:00,2294.36,2308.61,2291.16,2303.67,4998.7753,,,,0,0
2026-04-28 09:00:00,2303.66,2310.88,2299.47,2306.77,5364.7887,,,,0,0
2026-04-28 10:00:00,2306.76,2308.76,2297.78,2298.61,4184.5868,,,,0,0
2026-04-28 11:00:00,2298.61,2301.01,2280.99,2289.11,7908.4528,,,,0,0
2026-04-28 12:00:00,2289.1,2291,2282.39,2290.94,3711.4568,,,,0,0
2026-04-28 13:00:00,2290.93,2294.6,2283.32,2288.57,5863.0448,,,,0,0
2026-04-28 14:00:00,2288.58,2296.91,2286.71,2288.13,10496.1234,,,,0,0
2026-04-28 15:00:00,2288.13,2291,2270.53,2277.63,10739.7381,,,,0,0
2026-04-28 16:00:00,2277.63,2288.65,2270.65,2287.99,9917.5609,,,,0,0
2026-04-28 17:00:00,2288,2291.64,2283.86,2287.07,6065.7122,,,,0,0
2026-04-28 18:00:00,2287.07,2288.51,2276.67,2282.27,7654.6336,45.43521594684387,,,0,0
2026-04-28 19:00:00,2282.26,2287.63,2280.84,2284.51,6577.0773,47.13007993185509,,,0,0
2026-04-28 20:00:00,2284.51,2285.36,2270.36,2275.32,12432.169,41.44258038063359,,,0,0
2026-04-28 21:00:00,2275.32,2281.29,2271.59,2278.23,6214.5258,43.7570600704615,,,0,0
2026-04-28 22:00:00,2278.23,2286.2,2258.24,2276.36,19869.0293,42.59204057843487,,,0,0
2026-04-28 23:00:00,2276.37,2276.63,2261,2273.44,14378.6883,40.766810088160014,,,0,0
2026-04-29 00:00:00,2273.44,2280.61,2269.22,2279.76,9305.2019,46.14610435160543,,,0,0
2026-04-29 01:00:00,2279.76,2288.38,2274.38,2286.18,9159.1695,51.01291460741852,,,0,0
2026-04-29 02:00:00,2286.18,2293.38,2278.99,2290.73,8094.1521,54.173755327453975,,,0,0
2026-04-29 03:00:00,2290.73,2298.31,2287.9,2296.96,7249.1862,58.15505899576021,,,0,0
2026-04-29 04:00:00,2296.96,2305.55,2290.26,2301.96,8930.4107,61.07770437041918,,,0,0
2026-04-29 05:00:00,2301.96,2305.95,2295.52,2295.55,3554.3446,55.706048027869485,,,0,0
2026-04-29 06:00:00,2295.55,2297.2,2285.75,2290.12,5268.4565,51.56855777285208,,,0,0
2026-04-29 07:00:00,2290.12,2294.5,2285.48,2286.18,2436.7593,48.739777267128254,,,0,0
2026-04-29 08:00:00,2286.17,2290.18,2284.15,2289.42,2556.9515,51.114577639583516,,,0,0
2026-04-29 09:00:00,2289.42,2294.24,2285.38,2292.4,4053.3505,53.25942602323954,,,0,0
2026-04-29 10:00:00,2292.41,2297.3,2278.84,2292.45,10251.4496,53.29645191482323,,,0,0
2026-04-29 11:00:00,2292.45,2295.61,2284.68,2288.88,7158.8638,50.23650563548224,,,0,0
2026-04-29 12:00:00,2288.87,2316.36,2287.61,2311.52,18471.9819,64.25319909193212,,,0,0
2026-04-29 13:00:00,2311.53,2342.5,2309.33,2327.32,26313.9011,70.49839063302585,,,0,0
2026-04-29 14:00:00,2327.32,2333.22,2322.83,2329.19,12864.951,71.14101738486845,,,0,0
2026-04-29 15:00:00,2329.19,2336.64,2320.24,2324.58,9480.4591,67.2518102502276,,,0,0
2026-04-29 16:00:00,2324.59,2330.31,2321.7,2323.73,6478.9845,66.52960830757145,,,0,0
2026-04-29 17:00:00,2323.74,2329.03,2321.11,2325.33,4136.2641,67.2427050376568,,,0,0
2026-04-29 18:00:00,2325.33,2346.66,2322.74,2339.72,12808.4246,72.84603715286491,,,0,0
2026-04-29 19:00:00,2339.71,2346.95,2330.01,2333.68,9453.427,67.61774503685972,,,0,0
2026-04-29 20:00:00,2333.67,2336,2328.79,2331.74,8275.1971,65.97974458121789,,,0,0
2026-04-29 21:00:00,2331.74,2331.94,2307.4,2316.13,16486.429,54.53263861372763,,,0,0
2026-04-29 22:00:00,2316.13,2318.15,2289.94,2303.03,18372.5595,47.141055694703766,,,0,0
2026-04-29 23:00:00,2303.02,2308.29,2293.86,2299.39,14483.7704,45.303553034499096,,,0,0
2026-04-30 00:00:00,2299.4,2301.24,2263.1,2272.51,31727.41,34.58325039878167,,,0,0
2026-04-30 01:00:00,2272.5,2279.27,2263.35,2267.47,19698.2895,33.006162945558046,,,0,0
2026-04-30 02:00:00,2267.48,2283.33,2266.3,2283.12,11615.5567,41.870655541368535,,,0,0
2026-04-30 03:00:00,2283.12,2285.92,2220.36,2239.41,56466.6844,29.95065055520945,,,0,0
2026-04-30 04:00:00,2239.41,2242.44,2225,2233.7,17551.9858,28.797307395940123,,,0,0
2026-04-30 05:00:00,2233.69,2248.73,2230.49,2240.42,12588.2129,32.110689556809135,,,0,0
2026-04-30 06:00:00,2240.42,2264.8,2238.59,2253.13,15432.4606,37.98841017320828,,,0,0
2026-04-30 07:00:00,2253.14,2259.01,2250.19,2257.78,5462.7196,40.03393692868643,,,0,0
2026-04-30 08:00:00,2257.77,2260.3,2250.35,2252.9,5444.7688,38.59508579964897,,,0,0
2026-04-30 09:00:00,2252.9,2275,2249.47,2272.46,9779.8174,46.84197418551172,,,0,0
2026-04-30 10:00:00,2272.45,2279,2267.06,2269.35,8290.3738,45.78898425180359,,,0,0
2026-04-30 11:00:00,2269.36,2273.14,2236.36,2245.13,12671.6592,38.52563020723511,,,0,0
2026-04-30 12:00:00,2245.12,2256.82,2243.89,2253.24,5318.3681,41.85179611348915,,,0,0
2026-04-30 13:00:00,2253.24,2254.27,2236.89,2238.97,7758.4871,37.959888252965726,,,0,0
2026-04-30 14:00:00,2238.98,2248.31,2231.64,2242.76,8319.8981,39.567275590121476,,,0,0
2026-04-30 15:00:00,2242.76,2252.49,2241.86,2248.03,6064.2486,41.82434713530321,,,0,0
2026-04-30 16:00:00,2248.03,2262.23,2243.71,2260.31,11236.2376,46.809512383548984,,,0,0
2026-04-30 17:00:00,2260.31,2263.21,2255.27,2256.65,10003.379,45.55649808283589,,,0,0
2026-04-30 18:00:00,2256.65,2271.11,2256,2261.86,6145.3195,47.702566713285826,,,0,0
2026-04-30 19:00:00,2261.86,2265.74,2256.78,2262.01,5283.3923,47.76640565594344,,,0,0
2026-04-30 20:00:00,2262,2273.7,2252.07,2258.18,9303.8333,46.21515519067373,,,0,0
2026-04-30 21:00:00,2258.18,2271.07,2257.74,2265.45,6154.9815,49.56345986751849,,,0,0
2026-04-30 22:00:00,2265.46,2272.56,2254.74,2263.9,10742.9268,48.86499450403073,,,0,0
2026-04-30 23:00:00,2263.9,2271.07,2245.82,2262.01,14497.1911,47.97715886434759,,,0,0
2026-05-01 00:00:00,2262,2275.13,2257.65,2265.7,6476.8828,49.891398259467,,,0,0
2026-05-01 01:00:00,2265.7,2267.16,2255.8,2257.24,3880.3064,45.73620709324268,,,0,0
2026-05-01 02:00:00,2257.24,2260.47,2251.62,2258.14,4889.144,46.24907802036792,,,0,0
2026-05-01 03:00:00,2258.13,2265.29,2254.55,2259.84,4110.2594,47.26299980060984,,,0,0
2026-05-01 04:00:00,2259.84,2267.09,2258.13,2261.99,4771.3788,48.583964888459036,,,0,0
2026-05-01 05:00:00,2261.98,2267.32,2260.56,2264.34,3286.6466,50.05651092787164,,,0,0
2026-05-01 06:00:00,2264.34,2264.65,2254,2256.29,3541.8404,45.273244027138915,,,0,0
2026-05-01 07:00:00,2256.29,2261.34,2252.42,2254.25,2399.1525,44.122591946615,,,0,0
2026-05-01 08:00:00,2254.25,2259.01,2254,2257.51,2268.5533,46.46422387706811,,,0,0
2026-05-01 09:00:00,2257.51,2266,2257.21,2260,3813.1405,48.24814135773895,,,0,0
2026-05-01 10:00:00,2260,2270.56,2260,2267.75,4214.4302,53.44761771144413,,,0,0
2026-05-01 11:00:00,2267.75,2270,2265,2266.94,3090.6762,52.84996844925845,,,0,0
2026-05-01 12:00:00,2266.94,2295,2266.25,2282.87,15806.4467,61.878270341472984,,,0,0
2026-05-01 13:00:00,2282.87,2285.89,2277.56,2280.12,5118.5153,59.75124508893948,,,0,0
